threshold,atr_stop_mult,r_target,max_hold_bars,trades,win_rate,total_pnl,sharpe,avg_r,stop_pct,target_pct,time_pct,max_dd
0.6,2.0,3.0,30,66,36.36363636363637,-1028.2467822714204,-1.9148978505251515,-0.015581055745201983,39.39393939393939,4.545454545454546,54.54545454545454,-1907.045497271418
0.4,1.0,2.5,60,149,32.88590604026846,-2940.0278697856957,-1.9375250529019765,-0.004267141458463997,65.77181208053692,22.818791946308725,11.409395973154362,-4023.8567361857035
0.6,1.5,3.0,30,66,33.33333333333333,-1475.2183637928583,-1.9432256145262654,-0.033911776127287414,53.03030303030303,10.606060606060606,34.84848484848485,-2612.12567522143
0.5,1.5,1.5,60,95,42.10526315789473,-1256.1121525892952,-1.9578912553598082,0.00791046118079507,51.578947368421055,32.631578947368425,15.789473684210526,-1977.7573645535772
0.5,1.5,1.5,20,95,45.26315789473684,-1263.8465170500042,-1.9858783961378506,0.005112081290126117,40.0,24.210526315789473,35.78947368421053,-2076.6459322285737
0.4,1.5,1.5,60,149,40.939597315436245,-2585.586568653571,-2.0053076855573164,-0.026869624708841525,53.02013422818792,31.543624161073826,15.436241610738255,-2704.191289139287
0.5,1.0,3.0,10,95,32.631578947368425,-1883.3022920428368,-2.038016088822727,0.008589838017754524,50.526315789473685,11.578947368421053,37.89473684210527,-2271.0304118642725
0.6,1.5,2.5,10,66,36.36363636363637,-1058.0833210714425,-2.100784534358158,-0.005980978475444229,25.757575757575758,7.575757575757576,66.66666666666666,-1681.3575321428682
0.4,1.0,3.0,30,149,32.21476510067114,-3566.0756385642558,-2.115497290426532,-0.03567173785908045,64.42953020134227,13.422818791946309,22.14765100671141,-4546.2510843214095
0.6,2.0,2.5,30,66,36.36363636363637,-1056.0850472071293,-2.1346667721497514,-0.01881917444141632,39.39393939393939,9.090909090909092,50.0,-2005.3683693499863
0.5,1.0,3.0,20,95,35.78947368421053,-1974.501811064249,-2.1991871426956657,0.00476191307989825,58.94736842105262,14.736842105263156,26.31578947368421,-3428.4188114213994
0.4,1.0,2.5,10,149,34.899328859060404,-3263.4981338571306,-2.276597623894849,-0.027807184369952158,48.322147651006716,11.409395973154362,40.26845637583892,-3308.6804624214283
0.5,1.5,2.0,30,95,36.84210526315789,-1983.9481530000048,-2.3013461479169277,-0.03565197672825613,50.526315789473685,23.157894736842106,26.31578947368421,-2883.285325142863
0.4,1.0,2.0,20,149,40.26845637583892,-3423.4258496428242,-2.3921280792700923,-0.035429650205584945,57.04697986577181,19.463087248322147,23.48993288590604,-3840.383723642829
0.5,2.0,1.5,30,95,40.0,-1585.2440965214269,-2.4233799347175426,-0.03098887871790331,37.89473684210527,25.263157894736842,36.84210526315789,-2150.9321261642826
0.5,1.0,2.5,60,95,32.631578947368425,-1835.261281199989,-2.439857176158487,0.014582965560741994,66.3157894736842,24.210526315789473,9.473684210526317,-3325.096490485707
0.4,1.0,2.0,60,149,34.899328859060404,-3656.9014971428383,-2.487587055379687,-0.044476490612659916,63.758389261744966,26.174496644295303,10.06711409395973,-4254.258738814275
0.6,1.5,2.5,20,66,39.39393939393939,-1522.6960869071554,-2.4999373961850515,-0.04392467505566844,42.42424242424242,10.606060606060606,46.96969696969697,-2438.837901907159
0.6,2.0,3.0,20,66,40.909090909090914,-1205.6302871428516,-2.501318540407126,-0.03494302772633613,31.818181818181817,3.0303030303030303,63.63636363636363,-1919.5569321428507
0.4,1.0,1.5,60,149,38.92617449664429,-3641.4128656499774,-2.547456300625752,-0.048294613532344086,59.73154362416108,34.899328859060404,5.369127516778524,-3908.2692122357
0.6,2.0,2.5,20,66,40.909090909090914,-1164.2736103571367,-2.583648527925925,-0.03184577747182725,31.818181818181817,6.0606060606060606,60.60606060606061,-1992.6528557142806
0.4,1.5,1.5,30,149,40.26845637583892,-3440.590553389279,-2.619234700664611,-0.06983373941938625,48.322147651006716,26.174496644295303,25.503355704697988,-3513.9616125607113
0.6,2.0,1.5,20,66,43.93939393939394,-1256.2853764142792,-2.6288623231138892,-0.04122737183084081,30.303030303030305,15.151515151515152,54.54545454545454,-1862.9129071285681
0.4,1.0,2.5,30,149,32.88590604026846,-4055.777647335698,-2.718841851462244,-0.06526915205600327,63.758389261744966,17.449664429530202,18.79194630872483,-4716.904883685706
0.6,1.5,2.5,30,66,33.33333333333333,-1983.4876717214358,-2.7679787285192408,-0.0833216330044042,53.03030303030303,15.151515151515152,31.818181818181817,-2919.7790285071524
0.5,1.0,2.5,20,95,36.84210526315789,-2200.415967614262,-2.8448170916425655,-0.012227302904599923,57.89473684210527,18.947368421052634,23.157894736842106,-3364.6774236856963
0.5,1.0,2.5,10,95,32.631578947368425,-2368.9322781071282,-2.875845197538487,-0.025924571588740876,50.526315789473685,13.684210526315791,35.78947368421053,-2593.09463239285
